#Timestamp (LOCAL_TIME),TT66.BTV.660524:SCREEN
2016-08-16 23:34:41.252,41422.00
2016-08-16 23:34:42.252,43386.00
2016-08-16 23:34:43.253,45350.00
2016-08-16 23:34:44.254,47313.00
2016-08-16 23:34:45.255,49277.00
2016-08-16 23:34:46.255,50400.00
2016-08-16 23:40:35.518,48405.00
2016-08-16 23:40:36.519,46441.00
2016-08-16 23:40:37.520,44477.00
2016-08-16 23:40:38.521,42513.00
2016-08-16 23:40:39.522,40550.00
2016-08-16 23:40:40.522,38586.00
2016-08-16 23:40:41.523,36623.00
2016-08-16 23:40:42.524,34659.00
2016-08-16 23:40:43.525,32695.00
2016-08-16 23:40:44.525,30732.00
2016-08-16 23:40:45.526,28768.00
2016-08-16 23:40:46.527,26804.00
2016-08-16 23:40:47.528,24841.00
2016-08-16 23:40:48.528,22877.00
2016-08-16 23:40:49.529,20913.00
2016-08-16 23:40:50.530,18950.00
2016-08-16 23:40:51.531,16986.00
2016-08-16 23:40:52.531,15023.00
2016-08-16 23:40:53.532,13059.00
2016-08-16 23:40:54.533,11095.00
2016-08-16 23:40:55.534,9132.00
2016-08-16 23:40:56.534,7168.00
2016-08-16 23:40:57.535,5204.00
2016-08-16 23:40:58.536,3241.00
2016-08-16 23:40:59.537,1277.00
2016-08-16 23:41:00.538,1.00
2016-08-17 01:41:00.959,1.00
2016-08-17 03:41:01.394,1.00
2016-08-17 05:41:01.788,1.00
2016-08-17 07:41:02.199,1.00
2016-08-17 09:41:02.625,1.00
2016-08-17 11:41:03.040,1.00
